"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacityPowerOf2","Param: library","Param: load","Param: loadFactor"
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.050727,0.034693,"s/op",16,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.189475,0.104593,"s/op",16,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.244090,0.002580,"s/op",16,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.219935,0.041706,"s/op",16,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.196782,0.029894,"s/op",16,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.236471,0.025322,"s/op",16,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.291207,0.035630,"s/op",16,HPPC,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.922805,0.017698,"s/op",16,HPPC_SCATTER,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.034124,0.023260,"s/op",16,HPPC_SCATTER,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.071754,0.009069,"s/op",16,HPPC_SCATTER,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.074134,0.019278,"s/op",16,HPPC_SCATTER,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.131905,0.018249,"s/op",16,HPPC_SCATTER,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.135051,0.020346,"s/op",16,HPPC_SCATTER,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.197275,0.006394,"s/op",16,HPPC_SCATTER,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.939174,0.015370,"s/op",16,FASTUTIL,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.985682,0.015469,"s/op",16,FASTUTIL,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.075365,0.002362,"s/op",16,FASTUTIL,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.050842,0.005928,"s/op",16,FASTUTIL,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.154592,0.024047,"s/op",16,FASTUTIL,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.163714,0.013024,"s/op",16,FASTUTIL,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.113455,0.003934,"s/op",16,FASTUTIL,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.978464,0.005792,"s/op",16,KOLOBOKE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.054318,0.014960,"s/op",16,KOLOBOKE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.026898,0.033651,"s/op",16,KOLOBOKE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.085951,0.008872,"s/op",16,KOLOBOKE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.110742,0.006903,"s/op",16,KOLOBOKE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.114043,0.024289,"s/op",16,KOLOBOKE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.170978,0.005151,"s/op",16,KOLOBOKE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.935200,0.032037,"s/op",16,WORM,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.923848,0.011210,"s/op",16,WORM,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.980845,0.003447,"s/op",16,WORM,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.943348,0.020885,"s/op",16,WORM,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.986994,0.003323,"s/op",16,WORM,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.040443,0.004651,"s/op",16,WORM,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.064183,0.007654,"s/op",16,WORM,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.040707,0.009572,"s/op",16,WORM_LARGE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.070951,0.007726,"s/op",16,WORM_LARGE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.096370,0.012216,"s/op",16,WORM_LARGE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.094697,0.009353,"s/op",16,WORM_LARGE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.148849,0.020056,"s/op",16,WORM_LARGE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.166947,0.011177,"s/op",16,WORM_LARGE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.043687,0.007811,"s/op",16,WORM_LARGE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.167451,0.014972,"s/op",17,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.219756,0.010215,"s/op",17,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.271460,0.014110,"s/op",17,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.316706,0.010671,"s/op",17,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.330620,0.018855,"s/op",17,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.388756,0.021423,"s/op",17,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.430763,0.036391,"s/op",17,HPPC,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.110572,0.011327,"s/op",17,HPPC_SCATTER,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.160149,0.024441,"s/op",17,HPPC_SCATTER,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.208710,0.011614,"s/op",17,HPPC_SCATTER,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.268501,0.014470,"s/op",17,HPPC_SCATTER,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.317301,0.011210,"s/op",17,HPPC_SCATTER,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.577309,0.014264,"s/op",17,HPPC_SCATTER,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,2.042244,0.008111,"s/op",17,HPPC_SCATTER,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.048004,0.024910,"s/op",17,FASTUTIL,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.152286,0.011504,"s/op",17,FASTUTIL,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.230519,0.010640,"s/op",17,FASTUTIL,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.300579,0.013684,"s/op",17,FASTUTIL,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.364990,0.012925,"s/op",17,FASTUTIL,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.543673,0.007822,"s/op",17,FASTUTIL,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.876044,0.037356,"s/op",17,FASTUTIL,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.074932,0.003572,"s/op",17,KOLOBOKE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.085098,0.021269,"s/op",17,KOLOBOKE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.176638,0.046931,"s/op",17,KOLOBOKE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.213749,0.048672,"s/op",17,KOLOBOKE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.216993,0.030117,"s/op",17,KOLOBOKE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.254037,0.051937,"s/op",17,KOLOBOKE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.280292,0.027337,"s/op",17,KOLOBOKE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.989821,0.009405,"s/op",17,WORM,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.948845,0.006080,"s/op",17,WORM,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.049045,0.016433,"s/op",17,WORM,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.044490,0.094547,"s/op",17,WORM,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.089901,0.013698,"s/op",17,WORM,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.076824,0.014210,"s/op",17,WORM,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.092745,0.008039,"s/op",17,WORM,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.080006,0.021393,"s/op",17,WORM_LARGE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.105719,0.033973,"s/op",17,WORM_LARGE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.136887,0.020884,"s/op",17,WORM_LARGE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.160085,0.020742,"s/op",17,WORM_LARGE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.186431,0.028715,"s/op",17,WORM_LARGE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.214934,0.028912,"s/op",17,WORM_LARGE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.074980,0.016539,"s/op",17,WORM_LARGE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.208284,0.014562,"s/op",18,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.252937,0.019100,"s/op",18,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.326961,0.028709,"s/op",18,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.359770,0.009057,"s/op",18,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.423045,0.056351,"s/op",18,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.428585,0.031653,"s/op",18,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.492118,0.032068,"s/op",18,HPPC,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.130083,0.016399,"s/op",18,HPPC_SCATTER,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.167144,0.013468,"s/op",18,HPPC_SCATTER,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.218816,0.023880,"s/op",18,HPPC_SCATTER,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.281545,0.016939,"s/op",18,HPPC_SCATTER,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.339050,0.065787,"s/op",18,HPPC_SCATTER,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.324310,0.014454,"s/op",18,HPPC_SCATTER,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.417210,0.039871,"s/op",18,HPPC_SCATTER,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.060487,0.021265,"s/op",18,FASTUTIL,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.107015,0.007947,"s/op",18,FASTUTIL,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.173094,0.021199,"s/op",18,FASTUTIL,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.285474,0.016900,"s/op",18,FASTUTIL,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.350051,0.060436,"s/op",18,FASTUTIL,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.427503,0.078915,"s/op",18,FASTUTIL,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.436138,0.040907,"s/op",18,FASTUTIL,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.104271,0.017451,"s/op",18,KOLOBOKE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.148228,0.030986,"s/op",18,KOLOBOKE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.237192,0.018452,"s/op",18,KOLOBOKE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.275638,0.011661,"s/op",18,KOLOBOKE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.299369,0.022347,"s/op",18,KOLOBOKE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.295191,0.025408,"s/op",18,KOLOBOKE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.378321,0.017331,"s/op",18,KOLOBOKE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.956897,0.025019,"s/op",18,WORM,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.057866,0.042008,"s/op",18,WORM,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.013735,0.028479,"s/op",18,WORM,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.048923,0.029862,"s/op",18,WORM,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.105228,0.018855,"s/op",18,WORM,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.072991,0.013138,"s/op",18,WORM,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.119816,0.029562,"s/op",18,WORM,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.108971,0.015937,"s/op",18,WORM_LARGE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.151121,0.031479,"s/op",18,WORM_LARGE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.179165,0.041279,"s/op",18,WORM_LARGE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.199627,0.017056,"s/op",18,WORM_LARGE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.257815,0.032566,"s/op",18,WORM_LARGE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.246432,0.017542,"s/op",18,WORM_LARGE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.100592,0.028202,"s/op",18,WORM_LARGE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.234108,0.027352,"s/op",19,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.287259,0.013066,"s/op",19,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.358747,0.034047,"s/op",19,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.407853,0.016624,"s/op",19,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.416798,0.010219,"s/op",19,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.517114,0.079697,"s/op",19,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.577770,0.054002,"s/op",19,HPPC,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.155941,0.010576,"s/op",19,HPPC_SCATTER,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.232967,0.013837,"s/op",19,HPPC_SCATTER,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.256097,0.022340,"s/op",19,HPPC_SCATTER,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.308672,0.027976,"s/op",19,HPPC_SCATTER,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.362209,0.050532,"s/op",19,HPPC_SCATTER,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.413661,0.046189,"s/op",19,HPPC_SCATTER,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.458582,0.021981,"s/op",19,HPPC_SCATTER,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.081557,0.018769,"s/op",19,FASTUTIL,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.180577,0.043749,"s/op",19,FASTUTIL,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.198306,0.019161,"s/op",19,FASTUTIL,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.256250,0.018417,"s/op",19,FASTUTIL,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.313988,0.026975,"s/op",19,FASTUTIL,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.446261,0.023599,"s/op",19,FASTUTIL,0.7,0.75
